Animal_ID,Pop_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FR_ALP0188,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,1,2
FR_ALP0162,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0
FR_ALP0186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0,0,0,1,1
FR_ALP0166,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
FR_ALP0165,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,1
FR_ALP0164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
FR_ALP0167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
FR_ALP0168,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,2,0
FR_ALP0169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
FR_ALP0170,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0
FR_ALP0171,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
FR_ALP0172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,2
FR_ALP0173,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
FR_ALP0174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0
FR_ALP0163,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1
FR_ALP0176,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,1
FR_ALP0185,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
FR_ALP0175,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,0,1
FR_ALP0184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0
FR_ALP0183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
FR_ALP0182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
FR_ALP0187,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,0
FR_ALP0180,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0
FR_ALP0179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0
FR_ALP0178,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
FR_ALP0177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,4,0
FR_ALP0181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
SAAgoat384,10,0,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
SAAgoat383,10,1,0,0,1,3,1,2,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0
SAAgoat382,10,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0
SAAgoat381,10,1,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,2
SAAgoat380,10,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2,0
SAAgoat379,10,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2
SAAgoat378,10,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHAgoat147,10,0,0,0,1,2,1,1,0,0,0,0,1,1,2,1,1,0,0,0,1,1,1,0
CHAgoat146,10,0,1,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,1
CHAgoat148,10,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0
CHAgoat149,10,1,0,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
